pt1_cam1_U,pt1_cam1_V
3645.012413,1426.817864
3644.710000,1426.830000
3644.240000,1426.820000
3643.660000,1426.930000
3643.000000,1426.970000
3642.360000,1427.120000
3641.890000,1427.140000
3641.050000,1427.300000
3640.310000,1427.380000
3639.910000,1427.770000
3639.100000,1427.780000
3638.390000,1427.810000
3637.910000,1427.970000
3637.090000,1427.790000
3636.290000,1427.930000
3635.400000,1427.740000
3634.880000,1427.700000
3633.960000,1427.640000
3633.290000,1427.390000
3632.670000,1427.200000
3631.860000,1427.110000
3631.030000,1427.230000
3630.210000,1427.280000
3629.290000,1427.290000
3628.330000,1427.340000
3627.630000,1427.380000
3626.920000,1427.660000
3626.100000,1427.790000
3625.150000,1427.840000
3624.120000,1427.730000
3623.210000,1427.750000
3622.140000,1427.700000
3621.200000,1427.380000
3620.060000,1427.190000
3619.050000,1427.070000
3617.930000,1427.120000
3616.860000,1427.070000
3615.640000,1427.010000
3614.140000,1427.120000
3613.110000,1427.100000
3611.710000,1427.240000
3610.240000,1427.120000
3608.930000,1427.200000
3607.560000,1427.150000
3605.900000,1427.110000
3604.070000,1427.100000
3602.480000,1426.990000
3600.940000,1426.980000
3599.300000,1426.820000
3597.690000,1426.910000
3595.890000,1426.840000
3594.050000,1426.850000
3592.210000,1426.830000
3590.440000,1426.710000
3588.680000,1426.760000
3586.780000,1426.530000
3584.800000,1426.410000
3582.770000,1426.220000
3580.880000,1426.210000
3578.680000,1426.260000
3576.720000,1426.190000
3574.500000,1426.260000
3572.250000,1426.180000
3570.080000,1426.340000
3567.800000,1426.320000
3565.600000,1426.570000
3563.030000,1426.900000
3560.840000,1426.950000
3558.550000,1427.020000
3555.970000,1426.850000
3553.220000,1426.860000
3550.830000,1426.730000
3548.160000,1426.630000
3545.650000,1426.500000
3542.870000,1426.150000
3540.090000,1426.200000
3537.290000,1426.010000
3534.420000,1426.120000
3531.760000,1426.120000
3528.880000,1426.340000
3525.890000,1426.720000
3522.930000,1426.620000
3519.830000,1426.920000
3516.800000,1426.780000
3513.760000,1426.900000
3510.620000,1426.940000
3507.580000,1426.840000
3504.220000,1426.730000
3500.890000,1426.580000
3497.680000,1426.460000
3494.360000,1426.350000
3491.140000,1426.310000
3487.980000,1426.200000
3484.940000,1426.290000
3481.700000,1426.440000
3478.500000,1426.650000
3475.300000,1426.830000
3472.230000,1426.790000
3469.010000,1426.970000
3465.810000,1426.930000
3462.850000,1427.030000
3459.630000,1427.080000
3456.320000,1426.970000
3453.160000,1426.950000
3450.010000,1426.740000
3446.780000,1426.700000
3443.530000,1426.620000
3440.140000,1426.490000
3436.830000,1426.320000
3433.680000,1426.190000
3430.060000,1426.250000
3426.810000,1426.150000
3423.150000,1426.280000
3419.920000,1426.210000
3416.690000,1426.250000
3412.980000,1426.400000
3409.460000,1426.580000
3405.940000,1426.770000
3402.320000,1426.510000
3398.910000,1426.400000
3395.060000,1426.300000
3391.280000,1426.280000
3387.470000,1426.380000
3384.050000,1426.370000
3380.460000,1426.420000
3376.580000,1426.140000
3372.610000,1426.100000
3368.710000,1426.130000
3364.700000,1426.180000
3360.560000,1426.180000
3356.400000,1426.130000
3352.340000,1426.220000
3348.310000,1426.020000
3344.210000,1426.090000
3340.100000,1426.050000
