pt1_cam1_U,pt1_cam1_V
3821.123888,1427.842258
3820.760000,1428.030000
3820.680000,1427.900000
3820.030000,1427.940000
3819.770000,1428.010000
3819.230000,1427.940000
3818.940000,1428.080000
3818.360000,1428.080000
3818.010000,1428.190000
3817.810000,1428.130000
3817.500000,1428.170000
3816.640000,1428.100000
3815.910000,1428.030000
3815.050000,1427.980000
3814.300000,1427.890000
3813.750000,1427.930000
3812.810000,1427.820000
3811.880000,1427.950000
3810.890000,1427.990000
3809.990000,1428.140000
3808.880000,1428.290000
3807.940000,1428.370000
3806.830000,1428.560000
3805.950000,1428.800000
3804.820000,1428.900000
3803.910000,1428.690000
3802.700000,1428.610000
3801.760000,1428.390000
3800.590000,1428.120000
3799.000000,1428.090000
3797.890000,1428.000000
3796.740000,1427.990000
3795.590000,1428.070000
3793.940000,1428.310000
3792.440000,1428.570000
3791.170000,1428.830000
3789.990000,1428.930000
3788.750000,1429.000000
3787.380000,1429.120000
3785.920000,1428.950000
3784.140000,1429.010000
3782.530000,1428.750000
3781.190000,1428.690000
3779.840000,1428.520000
3778.220000,1428.270000
3776.880000,1428.200000
3775.240000,1428.210000
3773.800000,1428.390000
3772.040000,1428.550000
3770.200000,1428.620000
3768.440000,1428.680000
3766.960000,1428.760000
3765.150000,1428.710000
3763.300000,1428.650000
3761.410000,1428.680000
3760.050000,1428.530000
3758.490000,1428.350000
3756.680000,1428.220000
3754.840000,1428.350000
3752.910000,1428.240000
3750.890000,1428.320000
3748.970000,1428.340000
3747.040000,1428.320000
3745.060000,1428.340000
3743.090000,1428.120000
3740.980000,1428.070000
3739.030000,1427.860000
3736.840000,1427.840000
3734.730000,1427.680000
3732.610000,1427.810000
3730.080000,1427.730000
3728.000000,1427.690000
3725.780000,1427.890000
3723.650000,1427.820000
3721.380000,1428.050000
3718.830000,1427.790000
3716.290000,1427.890000
3714.020000,1427.780000
3711.770000,1427.650000
3709.330000,1427.660000
3706.750000,1427.360000
3703.840000,1427.180000
3701.190000,1426.980000
3698.340000,1426.940000
3695.910000,1426.730000
3693.040000,1426.770000
3690.060000,1426.780000
3687.160000,1426.790000
3684.090000,1426.950000
3681.240000,1427.020000
3678.060000,1427.180000
3675.190000,1427.070000
3672.050000,1427.270000
3668.920000,1427.260000
3665.710000,1427.350000
3662.450000,1427.280000
3658.940000,1427.210000
3655.240000,1427.170000
3652.000000,1426.990000
3648.620000,1427.100000
3645.000000,1426.820000
3641.190000,1426.890000
3637.460000,1426.790000
3634.030000,1426.820000
3630.450000,1426.910000
3626.770000,1426.950000
3622.910000,1427.020000
3619.240000,1427.010000
3615.660000,1427.190000
3611.810000,1427.220000
3607.860000,1427.380000
3603.980000,1427.680000
3600.000000,1427.840000
3596.030000,1427.860000
3592.050000,1427.810000
3587.960000,1427.780000
3583.980000,1427.550000
3579.750000,1427.420000
3575.620000,1427.200000
3571.130000,1427.130000
3566.940000,1427.140000
3562.840000,1427.170000
3558.650000,1427.230000
3554.360000,1427.110000
3550.150000,1427.400000
3546.070000,1427.630000
3541.840000,1427.740000
3537.680000,1427.690000
3533.540000,1427.910000
3528.960000,1427.900000
3524.460000,1427.920000
3520.230000,1427.980000
3516.090000,1427.830000
3511.840000,1427.850000
3507.730000,1427.660000
3503.470000,1427.680000
3498.880000,1427.480000
3494.310000,1427.200000
3489.990000,1427.280000
3485.750000,1427.210000
3480.980000,1427.290000
3476.450000,1427.270000
3472.020000,1427.380000
3467.770000,1427.330000
3463.060000,1427.400000
3458.280000,1427.360000
3453.940000,1427.270000
3449.590000,1427.360000
3444.920000,1427.290000
3440.080000,1427.390000
3435.380000,1427.290000
3430.880000,1427.340000
3426.110000,1427.260000
3421.250000,1427.370000
3416.490000,1427.330000
3412.090000,1427.310000
3407.570000,1427.340000
3402.830000,1427.290000
3397.930000,1427.280000
3393.070000,1427.130000
3388.170000,1427.150000
3383.200000,1427.120000
3378.270000,1427.080000
3373.150000,1427.140000
3368.150000,1427.180000
3362.940000,1427.290000
3358.090000,1427.320000
3352.900000,1427.580000
3347.950000,1427.750000
3342.730000,1427.890000
3337.580000,1427.840000
3332.180000,1427.830000
3327.040000,1427.820000
3321.950000,1427.710000
3316.640000,1427.690000
3311.060000,1427.550000
3305.750000,1427.270000
3300.120000,1427.140000
3294.830000,1427.140000
3289.030000,1427.260000
3283.350000,1427.320000
