pt1_cam1_U,pt1_cam1_V
3845.595313,1433.613591
3845.810000,1433.630000
3845.480000,1433.330000
3844.870000,1432.710000
3843.890000,1432.250000
3842.960000,1432.090000
3842.110000,1431.970000
3841.020000,1432.080000
3840.030000,1432.130000
3838.900000,1432.310000
3837.680000,1432.500000
3835.990000,1432.900000
3834.260000,1432.980000
3833.030000,1433.060000
3831.700000,1433.050000
3829.970000,1432.880000
3828.110000,1432.860000
3826.280000,1432.570000
3824.590000,1432.240000
3823.140000,1432.160000
3821.920000,1432.200000
3820.500000,1432.190000
3818.670000,1432.190000
3816.620000,1432.250000
3814.740000,1432.180000
3812.700000,1432.220000
3810.690000,1432.390000
3808.600000,1432.830000
3806.300000,1432.960000
3803.770000,1433.000000
3801.070000,1433.050000
3798.480000,1433.100000
3796.090000,1433.330000
3793.820000,1433.700000
3791.510000,1433.940000
3788.730000,1434.090000
3785.940000,1434.140000
3782.990000,1434.150000
3780.060000,1433.940000
3777.000000,1434.010000
3774.030000,1433.750000
3770.860000,1433.810000
3767.700000,1433.590000
3764.480000,1433.230000
3760.740000,1433.260000
3757.020000,1433.300000
3753.310000,1433.610000
3749.980000,1434.050000
3746.670000,1434.420000
3742.920000,1434.960000
3739.120000,1435.290000
3735.310000,1435.890000
3732.080000,1435.980000
3728.690000,1436.350000
3724.980000,1436.520000
3721.240000,1436.500000
3718.010000,1436.030000
3714.800000,1435.710000
3711.470000,1435.060000
3707.910000,1434.410000
3704.240000,1434.310000
3701.000000,1434.190000
3697.640000,1434.370000
3694.050000,1434.460000
3690.760000,1435.030000
3687.110000,1435.180000
3683.810000,1435.590000
3680.100000,1436.190000
3676.540000,1436.780000
3673.070000,1436.880000
3669.880000,1436.860000
3666.650000,1436.850000
3662.980000,1436.610000
3659.310000,1436.250000
3656.080000,1435.900000
3652.940000,1435.770000
3649.770000,1435.620000
3646.740000,1434.980000
3643.530000,1434.670000
3639.890000,1434.410000
3636.400000,1434.490000
3633.340000,1434.400000
3630.090000,1434.520000
3626.890000,1434.960000
3623.810000,1435.100000
3620.610000,1435.370000
3617.080000,1435.700000
3613.790000,1435.930000
3610.300000,1435.950000
3607.040000,1436.120000
3603.750000,1436.180000
