pt1_cam1_U,pt1_cam1_V
3838.244558,1431.082625
3837.680000,1431.100000
3837.170000,1431.120000
3836.640000,1430.960000
3835.910000,1431.130000
3835.160000,1431.080000
3834.290000,1431.310000
3833.700000,1431.450000
3833.300000,1431.940000
3832.810000,1432.100000
3832.040000,1432.140000
3831.150000,1432.280000
3830.320000,1432.100000
3829.330000,1432.190000
3828.330000,1431.910000
3827.480000,1431.840000
3826.780000,1431.710000
3825.880000,1431.640000
3824.810000,1431.780000
3823.860000,1431.700000
3822.750000,1431.840000
3821.640000,1431.950000
3820.630000,1432.260000
3819.400000,1432.720000
3818.100000,1432.840000
3816.840000,1432.930000
3815.780000,1432.790000
3814.610000,1432.990000
3813.100000,1432.640000
3811.840000,1432.350000
3810.680000,1432.220000
3809.130000,1432.170000
3807.800000,1432.110000
3806.360000,1432.130000
3805.040000,1432.120000
3803.910000,1432.070000
3802.750000,1432.240000
3801.460000,1432.110000
3799.970000,1432.100000
3798.640000,1432.110000
3797.170000,1431.970000
3795.740000,1432.030000
3794.110000,1431.970000
3792.750000,1431.920000
3791.010000,1431.850000
3789.200000,1431.940000
3787.340000,1431.920000
3785.690000,1431.950000
3784.190000,1432.030000
3782.720000,1431.900000
3780.740000,1431.960000
3778.860000,1431.790000
3776.880000,1431.860000
3774.780000,1431.700000
3772.740000,1431.570000
3770.680000,1431.330000
3768.540000,1431.270000
3766.040000,1431.380000
3763.850000,1431.220000
3761.680000,1431.470000
3758.980000,1431.670000
3756.340000,1431.840000
3754.010000,1431.910000
3751.640000,1431.990000
3748.860000,1432.050000
3746.140000,1431.720000
3743.290000,1431.420000
3740.390000,1431.230000
3737.820000,1431.090000
3734.860000,1431.020000
3731.910000,1430.880000
3728.820000,1430.850000
3725.890000,1430.780000
3722.830000,1430.950000
3719.820000,1430.880000
3716.760000,1431.140000
3713.570000,1431.420000
3710.170000,1431.780000
3707.030000,1431.970000
3703.880000,1431.860000
3700.540000,1431.970000
3696.980000,1431.980000
3693.380000,1432.030000
3690.100000,1431.770000
3686.880000,1431.820000
3683.680000,1431.690000
3680.080000,1431.480000
3676.550000,1431.320000
3672.900000,1431.020000
3669.130000,1431.210000
3665.460000,1431.170000
3661.990000,1431.270000
3658.160000,1431.490000
3654.300000,1431.780000
3650.340000,1431.970000
3646.660000,1431.980000
3642.990000,1432.090000
3639.060000,1432.020000
3635.020000,1432.050000
3631.120000,1432.020000
3627.280000,1431.870000
3623.240000,1431.900000
3619.390000,1431.690000
3615.770000,1431.810000
3611.810000,1431.640000
3607.740000,1431.630000
3603.790000,1431.610000
3599.760000,1431.510000
3595.730000,1431.300000
3591.840000,1431.220000
3587.750000,1431.240000
3583.850000,1431.090000
3579.760000,1431.280000
3575.780000,1431.230000
3571.880000,1431.340000
3567.740000,1431.460000
3563.750000,1431.610000
3559.680000,1431.680000
3555.590000,1431.540000
3551.280000,1431.240000
3546.990000,1431.160000
3542.880000,1431.050000
3538.680000,1430.880000
3534.290000,1430.780000
3530.130000,1430.800000
3526.010000,1430.590000
3521.800000,1430.420000
3517.670000,1430.460000
3513.420000,1430.590000
3508.750000,1430.880000
3504.130000,1430.840000
3499.830000,1430.920000
3495.190000,1430.810000
3490.750000,1430.880000
3486.020000,1430.740000
3481.250000,1430.830000
3476.370000,1430.750000
3471.890000,1430.870000
3466.980000,1430.920000
3462.110000,1430.760000
3457.120000,1430.810000
3452.320000,1430.650000
3447.290000,1430.800000
3442.210000,1430.660000
3437.200000,1430.650000
3432.080000,1430.790000
3427.040000,1430.690000
3421.830000,1430.690000
3416.680000,1430.500000
3411.430000,1430.270000
3405.920000,1430.180000
3400.250000,1430.280000
3394.910000,1430.480000
3389.700000,1430.690000
3384.020000,1430.910000
3378.320000,1430.810000
3372.960000,1430.930000
3367.640000,1430.900000
3361.940000,1430.890000
3356.200000,1430.900000
3350.420000,1430.870000
3344.940000,1430.940000
3339.200000,1430.850000
3333.780000,1431.000000
3327.920000,1430.850000
3322.030000,1430.900000
3316.060000,1430.860000
3310.160000,1430.940000
3304.220000,1431.040000
3298.330000,1431.060000
3292.440000,1431.220000
3287.040000,1431.070000
3281.420000,1431.220000
3275.580000,1431.190000
3269.650000,1431.330000
3263.650000,1431.220000
3257.770000,1431.210000
3251.800000,1431.210000
3245.840000,1431.030000
3239.790000,1431.010000
3233.790000,1430.830000
3227.680000,1430.840000
3221.690000,1430.740000
3215.790000,1430.700000
3209.730000,1430.850000
3203.770000,1430.700000
3197.740000,1430.880000
3191.850000,1430.800000
3185.820000,1430.990000
3179.780000,1431.020000
3173.800000,1431.140000
3167.730000,1431.180000
3161.890000,1431.080000
3155.890000,1431.100000
3149.910000,1431.000000
3143.970000,1430.950000
3137.880000,1430.780000
3131.890000,1430.820000
3125.860000,1430.760000
3119.850000,1430.720000
3113.810000,1430.800000
3107.810000,1430.630000
3101.820000,1430.750000
3095.680000,1430.790000
3089.660000,1430.930000
3083.570000,1430.950000
3077.120000,1430.880000
3070.980000,1431.050000
3064.950000,1431.010000
3058.800000,1431.000000
3052.590000,1430.910000
3045.970000,1430.950000
3039.390000,1430.920000
3033.190000,1430.890000
3027.010000,1430.810000
3020.760000,1430.710000
3014.450000,1430.750000
3007.830000,1430.670000
3001.120000,1430.640000
2994.410000,1430.650000
2988.100000,1430.830000
2981.790000,1430.930000
2974.920000,1430.890000
2968.180000,1431.000000
2961.502440,1431.654700
2955.140000,1432.200000
2948.630000,1432.340000
2941.750000,1432.160000
2934.910000,1431.880000
2928.070000,1431.650000
2921.130000,1431.480000
2914.210000,1431.280000
2907.280000,1431.330000
2900.290000,1431.140000
2893.220000,1431.230000
2886.090000,1431.180000
2879.060000,1431.190000
2871.970000,1431.280000
2865.020000,1431.110000
2857.870000,1431.320000
2850.840000,1431.240000
2843.860000,1431.370000
2836.630000,1431.420000
2829.330000,1431.520000
2822.110000,1431.740000
2815.090000,1431.590000
2807.990000,1431.720000
2800.990000,1431.600000
2793.970000,1431.550000
2786.830000,1431.190000
2779.730000,1431.130000
2772.880000,1431.110000
2765.590000,1431.150000
2758.290000,1431.220000
2751.210000,1431.110000
2744.120000,1431.110000
2737.070000,1431.060000
2730.000000,1431.220000
2722.950000,1431.170000
2715.950000,1431.140000
2708.880000,1431.260000
2701.970000,1431.140000
2694.980000,1431.100000
2688.020000,1431.000000
2681.020000,1431.020000
2674.100000,1430.990000
2667.100000,1430.960000
2660.080000,1430.920000
2653.140000,1430.770000
2646.160000,1430.770000
2639.280000,1430.760000
2632.200000,1430.900000
2625.220000,1430.850000
2618.310000,1430.860000
2611.330000,1430.950000
2604.360000,1430.780000
2597.310000,1430.940000
2590.440000,1430.830000
2583.680000,1430.970000
2576.720000,1430.860000
2569.660000,1430.870000
2562.580000,1430.900000
2555.580000,1430.850000
2548.530000,1430.920000
2541.090000,1430.890000
2534.000000,1431.060000
2526.890000,1430.990000
2519.770000,1431.200000
2512.570000,1431.190000
2505.150000,1431.170000
2498.020000,1431.250000
2490.900000,1431.100000
2483.760000,1431.190000
2476.710000,1430.930000
2469.430000,1430.940000
2461.910000,1430.830000
2454.400000,1430.780000
2446.960000,1430.740000
2439.930000,1430.690000
2432.510000,1430.870000
2425.040000,1430.830000
2417.720000,1430.910000
2410.190000,1430.860000
2402.930000,1431.010000
2395.520000,1430.930000
2387.970000,1430.840000
2380.240000,1430.900000
2372.990000,1430.650000
2365.580000,1430.420000
2357.930000,1430.200000
2350.230000,1430.210000
2342.830000,1430.070000
2335.080000,1429.990000
2327.310000,1430.040000
2320.000000,1429.970000
2312.580000,1430.040000
2304.950000,1430.040000
2297.110000,1430.110000
2289.320000,1429.970000
2281.930000,1430.170000
2274.090000,1430.060000
2266.440000,1429.970000
2258.970000,1429.990000
2251.240000,1429.800000
2243.800000,1429.750000
2236.070000,1429.540000
2228.270000,1429.240000
2220.550000,1429.240000
2213.050000,1429.130000
2205.320000,1429.210000
2198.010000,1429.040000
2190.620000,1429.110000
2182.880000,1429.040000
2175.060000,1429.040000
2167.260000,1428.970000
2159.590000,1428.940000
2152.190000,1428.840000
2145.060000,1428.680000
2137.660000,1428.650000
2129.910000,1428.610000
2122.180000,1428.690000
2114.490000,1428.690000
2107.170000,1428.670000
2099.940000,1428.740000
2092.750000,1428.650000
2085.490000,1428.740000
2077.840000,1428.700000
2070.100000,1428.860000
2062.460000,1428.650000
2055.240000,1428.770000
2047.910000,1428.580000
2040.760000,1428.150000
2033.550000,1428.270000
2025.890000,1428.220000
2018.070000,1428.360000
2010.400000,1428.270000
2003.150000,1428.270000
1995.930000,1428.190000
1988.760000,1428.240000
1981.510000,1428.260000
1973.970000,1428.330000
1966.280000,1428.270000
1959.090000,1428.170000
1951.910000,1428.070000
1944.700000,1427.840000
1937.170000,1427.950000
1929.940000,1427.810000
1922.910000,1427.610000
1915.770000,1427.700000
1908.740000,1427.720000
1901.670000,1427.860000
1894.660000,1427.960000
1887.810000,1427.940000
1881.050000,1427.520000
1874.290000,1427.040000
1868.090000,1426.790000
1862.250000,1426.200000
1856.320000,1426.050000
1851.210000,1425.120000
1846.590000,1424.200000
1842.470000,1424.130000
1838.450000,1424.830000
1834.660000,1425.730000
1831.450000,1426.690000
1828.950000,1426.120000
1826.630000,1425.300000
1824.960000,1424.420000
1823.790000,1423.990000
1823.090000,1424.180000
1822.490000,1424.830000
