pt1_cam1_U,pt1_cam1_V
3365.311045,1651.080026
3365.070000,1651.390000
3365.050000,1651.430000
3365.000000,1651.770000
3364.930000,1652.240000
3364.870000,1652.600000
3364.600000,1652.920000
3364.140000,1653.090000
3364.150000,1653.290000
3363.940000,1653.260000
3363.680000,1653.090000
3363.370000,1653.230000
3363.200000,1652.930000
3363.010000,1652.660000
3362.820000,1652.490000
3362.890000,1652.210000
3362.690000,1652.110000
3362.360000,1652.010000
3362.120000,1652.090000
3361.760000,1652.060000
3361.080000,1651.980000
3360.710000,1652.350000
3360.400000,1652.610000
3360.040000,1652.570000
3359.760000,1653.000000
3359.300000,1652.970000
3359.020000,1652.980000
3358.580000,1652.930000
3358.110000,1652.810000
3357.720000,1652.520000
3356.880000,1651.980000
3356.310000,1652.080000
3355.790000,1651.810000
3354.900000,1651.470000
3354.090000,1651.510000
3353.330000,1651.340000
3352.680000,1651.370000
3351.780000,1651.700000
3351.070000,1652.110000
3350.090000,1652.310000
3349.150000,1652.620000
3348.420000,1653.150000
3347.780000,1653.410000
3346.890000,1653.290000
3345.900000,1653.430000
3345.110000,1653.570000
3344.130000,1653.370000
3343.020000,1652.970000
3342.130000,1652.930000
3341.000000,1652.710000
3339.950000,1652.460000
3338.860000,1652.480000
3337.810000,1652.260000
3336.700000,1652.190000
3335.410000,1652.420000
3334.130000,1652.720000
3332.970000,1652.780000
3331.720000,1652.840000
3330.450000,1653.140000
3329.230000,1653.030000
3328.060000,1652.970000
3326.970000,1653.200000
3325.800000,1653.080000
3324.680000,1652.880000
3323.530000,1652.920000
3322.370000,1652.830000
3321.120000,1652.750000
3319.860000,1652.580000
3318.890000,1652.640000
3317.660000,1652.750000
3316.130000,1652.700000
3314.970000,1653.070000
3313.880000,1653.160000
3312.570000,1653.260000
3311.010000,1653.550000
3309.940000,1653.900000
3308.730000,1653.970000
3307.330000,1653.810000
3306.040000,1654.150000
3304.880000,1653.960000
3303.470000,1653.740000
3301.990000,1653.800000
3300.790000,1653.590000
3299.300000,1653.090000
3297.560000,1652.900000
3296.000000,1652.870000
3294.130000,1652.640000
3292.150000,1652.090000
3290.370000,1652.310000
3288.860000,1652.040000
3287.020000,1651.980000
3285.090000,1652.070000
3283.530000,1652.220000
3281.990000,1652.300000
3280.120000,1652.420000
3278.610000,1653.030000
3277.070000,1653.260000
3275.620000,1653.400000
3273.920000,1653.920000
3272.290000,1654.050000
3270.750000,1654.180000
3268.930000,1654.260000
3267.260000,1654.350000
3265.680000,1654.170000
3263.770000,1653.840000
3261.990000,1653.830000
3260.070000,1653.580000
3258.130000,1653.080000
3256.110000,1653.120000
3254.380000,1652.950000
3252.590000,1652.850000
3250.390000,1652.780000
3248.290000,1652.980000
3246.260000,1652.930000
3244.110000,1652.900000
3241.970000,1653.170000
3240.040000,1653.210000
3237.850000,1653.280000
3235.690000,1653.340000
3233.690000,1653.610000
3231.450000,1653.650000
3229.020000,1653.610000
3226.890000,1653.910000
3224.800000,1653.760000
3222.490000,1653.750000
3219.980000,1653.890000
3218.000000,1653.960000
3215.620000,1654.020000
3213.050000,1653.960000
3210.930000,1654.160000
3208.700000,1654.190000
3206.200000,1654.170000
3203.950000,1654.480000
3201.740000,1654.660000
3199.430000,1654.680000
3196.840000,1654.670000
3194.460000,1654.740000
3191.990000,1654.540000
3189.600000,1654.130000
3187.150000,1654.310000
3184.790000,1654.000000
3182.160000,1653.770000
3179.800000,1653.790000
3177.410000,1653.780000
3175.030000,1653.650000
3172.540000,1653.500000
3170.090000,1653.710000
3167.820000,1653.790000
3165.430000,1653.750000
3162.930000,1654.060000
3160.550000,1654.160000
3158.100000,1654.290000
3155.730000,1654.320000
3153.350000,1654.780000
3151.070000,1654.880000
3148.700000,1654.930000
3146.030000,1655.160000
3143.470000,1655.070000
3140.930000,1655.080000
3138.150000,1655.080000
3135.560000,1655.100000
3132.920000,1654.990000
3130.020000,1654.730000
3127.280000,1654.880000
3124.780000,1654.660000
3121.970000,1654.430000
3119.030000,1654.320000
3116.400000,1654.280000
3113.730000,1654.240000
3110.860000,1654.050000
3108.060000,1654.330000
3105.230000,1654.330000
3102.440000,1654.040000
3099.800000,1654.230000
3097.090000,1654.260000
3094.280000,1654.140000
3091.330000,1654.110000
3088.750000,1654.290000
3086.090000,1654.300000
3083.130000,1654.200000
3080.140000,1654.670000
3077.280000,1654.890000
3074.200000,1654.930000
3071.030000,1655.020000
3068.160000,1655.190000
3064.920000,1655.270000
3061.700000,1655.250000
3058.510000,1655.500000
3055.320000,1655.590000
3052.230000,1655.450000
3049.140000,1655.460000
3046.160000,1655.450000
3043.030000,1655.320000
3039.850000,1655.230000
3036.950000,1655.260000
3033.770000,1655.070000
3030.550000,1654.780000
3027.070000,1654.940000
3023.860000,1654.710000
3020.640000,1654.640000
3017.010000,1654.810000
3013.700000,1654.900000
3010.350000,1654.940000
3007.070000,1655.060000
3003.960000,1655.650000
3000.800000,1655.850000
2997.450000,1655.810000
2993.850000,1656.080000
2990.400000,1656.010000
2986.940000,1655.930000
2983.140000,1655.900000
2979.540000,1655.940000
2976.000000,1655.750000
2972.210000,1655.580000
2968.490000,1655.540000
2965.090000,1655.380000
2961.630000,1655.310000
2957.890000,1655.380000
2954.350000,1655.510000
2950.950000,1655.790000
2947.460000,1655.690000
2944.030000,1656.040000
2940.760000,1655.990000
2937.120000,1655.950000
2933.640000,1655.980000
2930.240000,1656.100000
2926.890000,1656.000000
2923.480000,1655.790000
2920.010000,1655.980000
2916.680000,1655.750000
2912.970000,1655.610000
2909.150000,1655.470000
2905.630000,1655.550000
2902.050000,1655.700000
2898.030000,1655.600000
2894.260000,1655.930000
2890.630000,1655.830000
2887.040000,1655.840000
2883.080000,1655.980000
2879.420000,1656.320000
2875.910000,1656.500000
2872.090000,1656.440000
2868.110000,1656.500000
2864.450000,1656.740000
2860.820000,1656.740000
2856.890000,1656.580000
2853.060000,1656.550000
2849.190000,1656.330000
2845.270000,1656.210000
2841.230000,1656.270000
2837.580000,1656.130000
2833.980000,1655.990000
2830.000000,1655.630000
2826.200000,1655.520000
2822.310000,1655.300000
2818.380000,1655.050000
2814.270000,1655.080000
2810.430000,1655.140000
2806.570000,1655.260000
2802.430000,1655.130000
2798.090000,1655.620000
2794.140000,1655.840000
2790.010000,1656.070000
2785.790000,1656.160000
2781.850000,1656.540000
2777.710000,1656.880000
2773.670000,1656.890000
2769.600000,1657.250000
2765.760000,1657.700000
2761.480000,1657.700000
2756.940000,1657.560000
2752.490000,1657.520000
2748.420000,1657.230000
2744.160000,1657.030000
2739.820000,1656.940000
2735.770000,1656.920000
2731.450000,1656.620000
2726.900000,1656.010000
2722.310000,1656.130000
2718.300000,1656.180000
2714.000000,1656.140000
2709.670000,1655.990000
2705.200000,1656.310000
2701.040000,1656.550000
2696.660000,1656.570000
2692.080000,1656.710000
2687.910000,1656.990000
2683.650000,1656.960000
2679.040000,1656.930000
2674.750000,1657.200000
2670.170000,1657.180000
2665.840000,1657.180000
2661.130000,1657.130000
2656.640000,1657.360000
2652.230000,1657.460000
2647.870000,1657.300000
2643.050000,1657.300000
2638.510000,1657.190000
2634.040000,1657.150000
2629.580000,1657.090000
2625.020000,1657.240000
2620.300000,1657.090000
2615.950000,1656.920000
2611.620000,1657.040000
2607.110000,1656.970000
2602.670000,1656.890000
2597.910000,1656.690000
2593.290000,1656.930000
2588.920000,1656.730000
2584.150000,1656.670000
2579.350000,1656.850000
2575.130000,1656.860000
2570.630000,1656.920000
2565.810000,1657.040000
2561.210000,1657.330000
2556.780000,1657.650000
2552.020000,1657.730000
2547.260000,1658.010000
2543.080000,1658.180000
2538.650000,1658.190000
2533.750000,1658.110000
2529.090000,1658.110000
2524.190000,1658.020000
2519.330000,1657.850000
2514.490000,1657.930000
2510.070000,1657.660000
2505.360000,1657.250000
2500.370000,1657.160000
2495.400000,1657.110000
