pt1_cam1_U,pt1_cam1_V
3508.231266,1654.657557
3507.700000,1655.000000
3507.490000,1655.050000
3507.140000,1654.780000
3507.040000,1654.730000
3506.930000,1654.460000
3506.790000,1653.950000
3506.600000,1653.630000
3505.960000,1653.130000
3505.660000,1653.060000
3504.830000,1652.890000
3503.960000,1652.870000
3503.060000,1652.830000
3502.190000,1652.990000
3501.270000,1653.000000
3500.360000,1653.220000
3499.450000,1653.330000
3498.700000,1653.520000
3497.760000,1653.880000
3496.590000,1653.820000
3495.250000,1653.980000
3494.050000,1653.890000
3492.850000,1653.880000
3491.530000,1653.810000
3490.080000,1653.770000
3488.720000,1653.740000
3487.010000,1653.750000
3485.470000,1653.690000
3484.110000,1653.620000
3482.730000,1653.410000
3480.860000,1653.020000
3479.080000,1653.030000
3477.230000,1652.990000
3475.520000,1652.870000
3473.780000,1652.780000
3471.790000,1652.860000
3469.850000,1652.870000
3467.760000,1652.890000
3465.790000,1652.890000
3463.650000,1652.870000
3461.510000,1653.000000
3459.050000,1653.150000
3456.820000,1653.230000
3454.470000,1653.300000
3452.030000,1653.290000
3449.920000,1653.420000
3447.760000,1653.600000
3445.450000,1653.450000
3443.060000,1653.080000
3440.830000,1652.780000
3438.450000,1652.370000
3435.760000,1652.200000
3433.060000,1652.010000
3430.110000,1651.940000
3427.070000,1651.920000
3423.990000,1651.960000
3421.030000,1652.030000
3418.020000,1652.240000
3414.900000,1652.330000
3411.640000,1652.910000
3408.100000,1653.240000
3404.860000,1653.840000
3401.470000,1653.960000
3397.620000,1654.310000
3394.020000,1654.690000
3390.170000,1654.690000
3386.350000,1654.700000
3382.780000,1654.610000
3379.020000,1654.520000
3375.070000,1653.950000
3371.220000,1653.540000
3367.300000,1653.140000
3363.320000,1653.020000
3359.460000,1652.820000
3355.680000,1652.630000
3351.760000,1652.260000
3347.670000,1652.350000
3343.550000,1652.540000
3339.060000,1653.070000
3334.830000,1653.700000
3330.680000,1654.040000
3326.490000,1654.420000
3322.070000,1654.920000
3317.870000,1655.140000
3313.680000,1655.300000
3308.990000,1655.520000
3304.390000,1655.650000
3300.060000,1655.630000
3295.730000,1655.490000
3290.860000,1655.070000
3286.130000,1654.880000
3281.370000,1654.830000
3276.950000,1654.780000
3272.290000,1654.680000
3267.910000,1654.820000
3263.310000,1654.870000
3258.910000,1655.070000
3254.230000,1655.050000
3249.870000,1655.170000
3244.950000,1655.420000
3240.210000,1655.820000
3235.200000,1655.990000
3230.130000,1655.960000
3225.070000,1656.130000
3220.060000,1656.140000
3214.990000,1656.150000
3209.970000,1655.940000
3204.810000,1655.950000
3199.850000,1655.830000
3194.650000,1655.780000
3189.170000,1655.620000
3183.930000,1655.220000
3178.850000,1655.180000
3173.630000,1655.170000
3168.060000,1655.380000
3163.010000,1655.710000
3157.960000,1655.940000
3152.790000,1656.090000
3147.690000,1656.320000
3142.410000,1656.660000
3136.680000,1656.900000
3131.140000,1657.110000
3125.760000,1657.270000
3119.960000,1657.470000
3114.230000,1657.790000
3108.560000,1657.790000
3103.210000,1657.650000
3097.920000,1657.640000
3092.530000,1657.450000
3086.800000,1657.150000
