pt1_cam1_U,pt1_cam1_V
3411.296075,1657.790281
3410.150000,1657.870000
3409.180000,1657.920000
3407.970000,1657.420000
3406.990000,1656.760000
3405.970000,1656.400000
3405.080000,1655.930000
3404.110000,1655.470000
3403.120000,1655.010000
3402.330000,1654.820000
3401.380000,1654.380000
3400.380000,1654.640000
3399.780000,1654.980000
3399.010000,1655.060000
3398.060000,1655.150000
3397.300000,1655.380000
3396.460000,1655.750000
3395.220000,1655.880000
3394.070000,1655.990000
3392.770000,1655.720000
3391.350000,1655.640000
3390.010000,1655.620000
3388.570000,1655.310000
3386.840000,1654.810000
3385.180000,1654.790000
3383.880000,1654.850000
3382.390000,1654.820000
3380.710000,1655.040000
3379.040000,1654.930000
3377.280000,1654.880000
3375.840000,1654.980000
3374.110000,1654.850000
3372.310000,1654.760000
3370.820000,1654.960000
3369.070000,1654.870000
3367.140000,1654.740000
3365.190000,1654.610000
3363.370000,1654.210000
3361.710000,1654.100000
3359.510000,1653.980000
3357.520000,1654.040000
3355.660000,1654.090000
3353.560000,1654.170000
3351.690000,1654.330000
3349.670000,1654.310000
3347.670000,1654.440000
3345.900000,1654.990000
3343.900000,1655.000000
3342.040000,1654.840000
3340.260000,1654.990000
3338.390000,1654.800000
3336.740000,1654.480000
3334.640000,1654.280000
3332.470000,1653.960000
3329.990000,1653.620000
3327.660000,1653.300000
3325.170000,1653.050000
3322.730000,1652.980000
3319.950000,1653.100000
3317.350000,1653.150000
3314.910000,1653.260000
3312.090000,1653.610000
3309.590000,1654.190000
3307.000000,1654.680000
3304.160000,1654.920000
3301.580000,1655.310000
3299.020000,1655.720000
3296.020000,1655.680000
3293.230000,1656.010000
3290.280000,1655.770000
3287.350000,1655.530000
3284.610000,1655.320000
3281.910000,1654.970000
3278.810000,1654.630000
3275.910000,1654.320000
3273.010000,1653.990000
3269.890000,1653.840000
3266.840000,1653.900000
3263.790000,1653.740000
3260.740000,1653.730000
3257.600000,1653.970000
3254.270000,1654.000000
3251.000000,1654.160000
3247.830000,1654.620000
3244.750000,1654.860000
3241.510000,1655.000000
3238.010000,1655.300000
3234.940000,1655.860000
3231.660000,1655.860000
3228.090000,1656.030000
3225.030000,1656.170000
3221.720000,1656.110000
3218.190000,1656.030000
3215.100000,1656.150000
3211.850000,1655.990000
3208.650000,1655.930000
3205.280000,1655.950000
3201.980000,1655.830000
3198.630000,1655.710000
3195.360000,1655.790000
3191.970000,1655.610000
3188.420000,1655.270000
3184.920000,1655.470000
3181.310000,1655.690000
3177.790000,1655.630000
3174.180000,1656.000000
3170.740000,1656.060000
3166.850000,1656.010000
3163.020000,1656.440000
3159.180000,1656.750000
3155.340000,1656.830000
3151.680000,1656.970000
3147.720000,1656.890000
3143.840000,1656.760000
3139.900000,1656.800000
3136.150000,1656.630000
3132.220000,1656.440000
3128.340000,1656.210000
3124.650000,1656.090000
3121.030000,1656.050000
3117.050000,1656.120000
3113.240000,1656.110000
3109.190000,1656.110000
3104.890000,1656.330000
3100.910000,1656.880000
3096.930000,1656.940000
3092.850000,1657.120000
3088.920000,1657.690000
3084.890000,1657.960000
3080.780000,1658.020000
3076.860000,1658.270000
3072.850000,1658.200000
3068.780000,1658.160000
3064.670000,1658.310000
3060.390000,1658.010000
3055.860000,1657.880000
3051.370000,1658.040000
3047.180000,1657.770000
3042.910000,1657.690000
3038.550000,1657.760000
3033.900000,1657.610000
3029.210000,1657.590000
3024.780000,1657.850000
3020.280000,1657.950000
3015.810000,1658.080000
3010.950000,1658.360000
3006.380000,1658.990000
3001.910000,1659.410000
2997.040000,1659.580000
2992.430000,1659.950000
2987.820000,1659.880000
2982.910000,1659.890000
2978.050000,1659.960000
2973.200000,1659.820000
2968.120000,1659.620000
2963.240000,1659.580000
2958.290000,1659.630000
2953.240000,1659.640000
2948.250000,1659.900000
2943.090000,1659.890000
2938.010000,1659.920000
2932.920000,1660.400000
2927.870000,1660.810000
2922.760000,1660.830000
2917.710000,1661.090000
2912.840000,1661.160000
2907.760000,1661.130000
2902.780000,1661.180000
2898.070000,1661.070000
2893.120000,1660.930000
2888.040000,1660.970000
2883.270000,1660.950000
2878.130000,1660.860000
2873.010000,1660.850000
2867.850000,1661.060000
2862.460000,1661.130000
2856.860000,1661.240000
2851.360000,1661.870000
2846.020000,1662.170000
2840.700000,1662.750000
2835.320000,1663.230000
2830.040000,1663.660000
2824.910000,1663.860000
2819.760000,1664.320000
2814.800000,1664.600000
2809.500000,1664.630000
2803.970000,1664.770000
2798.740000,1664.670000
2793.190000,1664.160000
2787.800000,1663.850000
2782.320000,1663.700000
2776.880000,1663.450000
2771.000000,1663.200000
2765.330000,1663.100000
2759.880000,1663.120000
2753.920000,1663.460000
2748.300000,1664.010000
2742.910000,1664.550000
2736.940000,1664.860000
