pt1_cam1_U,pt1_cam1_V
3389.381222,1651.664563
3388.260000,1652.040000
3387.190000,1652.170000
3386.200000,1652.230000
3385.070000,1652.320000
3384.200000,1652.680000
3383.100000,1652.940000
3382.050000,1652.920000
3381.110000,1653.030000
3380.050000,1653.030000
3378.920000,1652.870000
3377.840000,1652.820000
3376.650000,1652.620000
3375.060000,1652.230000
3373.970000,1652.140000
3372.610000,1652.040000
3371.020000,1652.070000
3369.480000,1651.970000
3368.090000,1651.980000
3366.860000,1652.260000
3365.410000,1652.350000
3363.810000,1652.450000
3362.440000,1653.010000
3361.200000,1653.110000
3359.850000,1653.230000
3358.670000,1653.350000
3357.120000,1653.260000
3355.740000,1653.190000
3354.330000,1653.030000
3353.060000,1652.840000
3351.720000,1652.750000
3350.230000,1652.410000
3348.950000,1651.920000
3347.620000,1651.750000
3346.060000,1651.770000
3344.610000,1651.830000
3343.050000,1651.970000
3341.630000,1651.970000
3340.030000,1652.260000
3338.540000,1652.450000
3337.110000,1652.790000
3335.640000,1653.080000
3333.960000,1653.130000
3332.100000,1653.100000
3330.320000,1653.240000
3328.660000,1653.070000
3326.670000,1652.870000
3324.790000,1652.680000
3322.770000,1652.110000
3320.680000,1651.930000
3318.800000,1651.720000
3316.780000,1651.540000
3314.730000,1651.290000
3312.780000,1651.250000
3310.710000,1651.200000
3308.730000,1651.360000
3306.680000,1651.410000
3304.620000,1651.590000
3302.650000,1651.980000
3300.600000,1652.030000
3298.450000,1652.140000
3296.330000,1652.090000
3294.360000,1652.050000
3292.300000,1651.970000
3290.450000,1651.790000
3288.660000,1651.430000
3286.750000,1651.190000
3284.710000,1650.930000
3282.440000,1650.670000
3280.250000,1650.470000
3278.020000,1650.310000
3275.810000,1650.270000
3273.740000,1650.380000
3271.500000,1650.540000
3268.920000,1651.120000
3266.580000,1651.570000
3264.260000,1651.750000
3261.950000,1652.070000
3259.720000,1652.150000
3257.070000,1652.140000
3254.780000,1652.250000
3252.040000,1652.020000
3249.140000,1651.850000
3246.420000,1651.540000
3243.760000,1650.960000
3240.670000,1650.560000
3237.790000,1650.220000
3234.630000,1649.950000
3231.490000,1649.990000
3228.230000,1650.000000
3225.050000,1650.140000
3222.030000,1650.370000
3218.880000,1650.880000
3215.700000,1651.260000
3212.690000,1651.780000
3209.480000,1652.000000
3206.090000,1652.300000
3203.120000,1652.490000
3199.990000,1652.450000
3196.960000,1652.350000
3193.820000,1652.070000
3190.650000,1651.950000
3187.390000,1651.750000
3184.170000,1651.470000
3181.030000,1651.030000
3177.910000,1650.760000
3174.790000,1650.190000
3171.640000,1650.310000
3168.180000,1650.220000
3165.070000,1650.230000
3162.010000,1650.640000
3158.880000,1651.000000
3155.710000,1651.180000
3152.760000,1651.640000
3149.720000,1652.010000
3146.640000,1652.310000
3143.750000,1652.730000
3140.600000,1652.820000
3137.400000,1652.910000
3134.130000,1652.810000
3130.870000,1652.570000
3127.590000,1652.370000
3124.060000,1652.120000
3120.570000,1651.820000
3117.070000,1651.620000
3113.680000,1651.060000
3109.950000,1651.040000
3106.500000,1650.900000
3103.160000,1650.780000
3099.790000,1650.920000
3096.370000,1650.880000
3093.000000,1650.970000
3089.790000,1651.270000
3086.310000,1651.640000
3082.630000,1651.780000
3079.080000,1652.020000
3075.590000,1651.940000
3071.720000,1651.880000
3068.060000,1651.870000
3064.270000,1651.640000
3060.750000,1651.420000
3057.100000,1651.150000
3053.280000,1650.840000
3049.990000,1650.700000
3046.480000,1650.330000
3042.690000,1649.880000
3039.000000,1649.710000
3035.170000,1649.630000
3031.240000,1649.890000
3027.540000,1650.070000
3023.970000,1650.250000
3020.040000,1650.660000
3016.390000,1651.130000
3012.840000,1651.700000
3008.980000,1652.070000
3005.080000,1652.250000
3001.120000,1652.380000
2997.220000,1652.880000
2993.170000,1652.750000
2989.030000,1652.570000
2985.030000,1652.230000
2980.870000,1652.040000
2976.640000,1651.920000
2972.210000,1651.780000
2967.920000,1651.480000
2963.670000,1651.150000
2959.130000,1651.040000
2954.710000,1650.830000
2950.010000,1650.920000
2945.340000,1650.890000
2940.850000,1650.840000
2936.180000,1650.930000
2931.640000,1650.910000
